time, magnitude, latitude, longitude, depth
1993-11-05T07:02:06.110Z, 5.2, -7.033, 106.101, 74.8
2004-05-09T22:25:31.130Z, 5.2, -6.944, 106.178, 78.3
1993-12-01T00:59:01.280Z, 5.7, -57.475, -25.685, 33
2003-09-06T15:46:59.920Z, 5.7, -57.419, -25.639, 33
